-,Busca seq. em vetor,Busca bin. em vetor
It. 1,2434.000000,2.000000
It. 2,3289.000000,3.000000
It. 3,2663.000000,3.000000
It. 4,3330.000000,3.000000
It. 5,3301.000000,2.000000
It. 6,404.000000,4.000000
It. 7,3311.000000,2.000000
It. 8,2646.000000,3.000000
It. 9,979.000000,3.000000
It. 10,3332.000000,3.000000
It. 11,3289.000000,3.000000
It. 12,1695.000000,3.000000
It. 13,2249.000000,3.000000
It. 14,2150.000000,3.000000
It. 15,640.000000,7.000000
It. 16,3324.000000,3.000000
It. 17,2350.000000,0.000000
It. 18,887.000000,3.000000
It. 19,3301.000000,3.000000
It. 20,3423.000000,3.000000
It. 21,1455.000000,3.000000
It. 22,3330.000000,3.000000
It. 23,2679.000000,3.000000
It. 24,1708.000000,3.000000
It. 25,3356.000000,3.000000
It. 26,1681.000000,3.000000
It. 27,3327.000000,2.000000
It. 28,3343.000000,3.000000
It. 29,320.000000,2.000000
It. 30,3347.000000,3.000000
Media,2451.433333,2.900000
Desvio padrao,1006.837282,1.011599
