-,Bubble,Insertion,Selection,Quick,Merge
It. 1,55753908.000000,8776945.000000,15911358.000000,17971.000000,27989.000000
It. 2,55185300.000000,8789403.000000,15891375.000000,18097.000000,27670.000000
It. 3,54792916.000000,8788983.000000,15836414.000000,17815.000000,27496.000000
It. 4,54876311.000000,9036277.000000,15943259.000000,18226.000000,28209.000000
It. 5,55014695.000000,8821808.000000,15916274.000000,18442.000000,27634.000000
It. 6,55005889.000000,8792138.000000,15956286.000000,17924.000000,27838.000000
It. 7,54826730.000000,8814686.000000,16046114.000000,18216.000000,27730.000000
It. 8,55060022.000000,8872599.000000,16027617.000000,18638.000000,27631.000000
It. 9,54919346.000000,8781748.000000,15870542.000000,18056.000000,27665.000000
It. 10,55343135.000000,8796652.000000,15893762.000000,18096.000000,27800.000000
Media,55077825.200000,8827123.900000,15929300.100000,18148.100000,27766.200000
Desvio padrao,275399.881874,74567.421071,62855.389292,233.110896,195.340626
